fecha,usuarios sin suministro edesur,usuarios sin suministro edenor
2016-01-1702:10:05,1714,1861
2016-01-1703:10:05,1026,1117
2016-01-1704:10:05,1026,1117
2016-01-1705:10:04,1026,1117
2016-01-1706:10:04,1026,1117
2016-01-1707:10:04,1026,1117
2016-01-1708:10:04,1026,1117
2016-01-1709:10:04,1026,1117
2016-01-1710:10:04,1026,1117
2016-01-1711:10:03,1026,1117
2016-01-1712:10:04,1026,1117
2016-01-1713:10:05,27,6849
2016-01-1714:10:04,9939,1368
2016-01-1715:10:04,27,1367
2016-01-1716:10:04,7211,759
2016-01-1717:10:03,2736,682
2016-01-1718:10:04,27,1202
2016-01-1719:10:04,27,8304
2016-01-1720:10:04,27,8506
2016-01-1721:10:03,27,588
2016-01-1722:10:04,27,2202
2016-01-1723:10:04,4074,10815
2016-01-1800:10:04,27,10815
2016-01-1801:10:04,27,10815
2016-01-1802:10:04,27,3125
2016-01-1803:10:04,27,2516
2016-01-1804:10:04,27,1864
2016-01-1805:10:04,27,1864
2016-01-1806:10:04,27,1864
2016-01-1807:10:04,27,1864
2016-01-1808:10:05,27,1864
2016-01-1809:10:04,27,1864
2016-01-1810:10:05,27,4228
2016-01-1811:10:04,2149,4228
2016-01-1812:10:04,27,4259
2016-01-1813:10:04,3692,14500
2016-01-1814:10:04,3692,8976
2016-01-1815:10:05,1892,5834
2016-01-1816:10:04,4342,11
2016-01-1817:10:05,2989,3497
2016-01-1818:10:05,4747,6258
2016-01-1819:10:03,5275,6568
2016-01-1820:10:03,6177,1010
2016-01-1821:10:04,5912,9085
2016-01-1822:10:04,6806,8248
2016-01-1823:10:04,6693,8248
2016-01-1900:10:05,6693,7210
2016-01-1901:10:03,6693,7210
2016-01-1902:10:13,3891,5093
2016-01-1903:10:04,455,4485
2016-01-1904:10:04,455,4485
2016-01-1905:10:05,455,1059
2016-01-1906:10:04,455,669
2016-01-1907:10:04,455,3707
2016-01-1908:10:05,455,3060
2016-01-1909:10:05,944,2419
2016-01-1910:10:04,675,6225
2016-01-1911:10:04,455,11327
2016-01-1912:10:05,455,11327
2016-01-1913:10:04,455,11327
2016-01-1914:10:04,1864,7970
2016-01-1915:10:04,1821,7590
2016-01-1916:10:05,1821,7589
2016-01-1917:10:04,3243,7707
2016-01-1918:10:05,4260,2925
2016-01-1919:10:04,416,2111
2016-01-1920:10:05,281,1432
2016-01-1921:10:05,5472,4977
2016-01-1922:10:04,5302,1459
2016-01-1923:10:05,680,1710
2016-01-2000:10:05,2245,1710
2016-01-2001:10:04,2245,1710
2016-01-2002:10:04,2245,3023
2016-01-2003:10:04,12,294
2016-01-2004:10:04,12,294
2016-01-2005:10:04,4748,294
2016-01-2006:10:04,23848,323
2016-01-2007:10:04,23848,323
2016-01-2008:10:04,13263,1252
2016-01-2009:10:05,9331,1224
2016-01-2010:10:03,4147,1156
2016-01-2011:10:04,4147,2040
2016-01-2012:10:04,3837,10989
2016-01-2013:10:03,6217,921
2016-01-2014:10:04,9270,214
2016-01-2015:10:04,5613,213
2016-01-2016:10:05,3409,7270
2016-01-2017:10:03,3083,7270
2016-01-2018:10:04,2065,550
2016-01-2019:10:04,2065,550
