"id","fecha_delito","descripcion","comentario","lat","lng","tiny"
"451","2015-1-8 22:44:00","Abuso / Violacion","se llama julio cabral acaba de salir del penal de san alberto y intento violar a mi hermanita hace 1 semana ya hice la denuncia pero nadie hace nada ","-34.64048166885888","-58.6825168132782","http://tinyurl.com/k28wjz3"
"452","2015-1-15 23:30:00","Hurto/Robo","Dos asaltantes a un joven. Rodo de mochila.","-11.901104781475311","-77.03981280326843","http://tinyurl.com/nzokenc"
"453","2015-1-24 15:19:00","Hurto/Robo","Motochorro les robo a 2 chicas, iban en una tornado
","-34.646576480432195","-58.554602265357964","http://tinyurl.com/oelkrfd"
"454","2015-1-27 23:50:00","Robo con Arma","Un policÃ­a de la Federal fue asesinado anoche frente a su casa en la localidad de Lavallol,por dos delincuentes que quisieron robarle el auto.","-34.77577706249626","-58.41902732849121","http://tinyurl.com/mkmlpae"
"455","2015-1-25 21:00:00","Robo con Arma","El domingo a la noche, un ladrÃ³n entrÃ³ armado a un almacÃ©n en el partido de La Plata, apuntÃ³ al comerciante y a una pareja de clientes","-34.85732342181157","-58.07250738143921","http://tinyurl.com/on5sfzl"
"456","2015-2-9 21:00:00","Secuestro","Secuestraron a un vecino, llevÃ¡ndoselo en un auto blanco, parecÃ­a ser un honda fit
","-34.63451440996253","-58.55809450149536","http://tinyurl.com/lwvbkdm"
"457","2015-2-10 09:31:00","Hurto/Robo","Dsparos robo hurto 
","0","-71.982421875","http://tinyurl.com/jwk68dk"
"458","2015-1-31 23:00:00","Robo con Arma","Estabamos en las cabaÃ±as Aires de Campo , cuando 2 hombres con mascaras entraron y nos robaron todo.","-33.73568943755718","-59.71172332763672","http://tinyurl.com/obhpuml"
"459","2015-2-11 12:00:00","Hurto/Robo","Ocho delincuentes irrumpen en una fiesta de cumpleaÃ±os y asaltan a los invitados.

http://www.clarin.com/policiales/delincuentes-irrumpen-cumpleanos-asaltan-invitados_0_1301870171.html","-34.851600723661896","-58.66690635681152","http://tinyurl.com/p9tz2ob"
"460","2015-2-11 12:00:00","Hurto/Robo","Dos muertos y una ambulancia baleada en una pelea entre bandas.

http://www.clarin.com/policiales/muertos-ambulancia-baleada-enfrentamiento-bandas_0_1301869964.html","-34.64867270961622","-58.444218635559075","http://tinyurl.com/pdyeh3d"
"461","2015-1-23 20:10:00","Hurto/Robo","
Dos Motochorros -en una moto azul 150 entre 22 y 24 aÃ±os, uno de 1.72 aproximadamente - me interceptan y me roban, no llegue a ver armas.








","-34.66148724028164","-58.69608879089355","http://tinyurl.com/kmz3duc"
"462","2015-1-28 20:35:00","Hurto/Robo","Intento de Robo a una chica, dos motochorros en una moto 150 color azul, entre 22 y 24 aÃ±os, uno no mide mas de 1.72, andan por la zona","-34.65877799710437","-58.69333148002625","http://tinyurl.com/lhga8ew"
"464","2015-3-2 06:30:00","Hurto/Robo","Nos quisieron robar a mi y a mi novia de versito dos chabones bien vestidos, preguntandome cosas y tratando de que yo o mi novia saquemos los celulares. Las dos personas no eran de aca","-34.65661583395311","-58.6666864156723","http://tinyurl.com/ow4rmtc"
"465","2015-2-24 02:16:00","Hurto/Robo","rompieron la reja del la ventana de atrÃ¡s y se llevaron herramientas..","-34.63816896562446","-58.684383630752556","http://tinyurl.com/o2sorzr"
"466","2014-10-9 03:15:00","Hurto/Robo","entradera por la noche mientras dormÃ­amos.... y no llevaron bicicleta  y algunas cosas mas","-34.64298849570352","-58.68314981460571","http://tinyurl.com/mdbra5u"
"467","2014-12-6 14:15:00","Hurto/Robo","Esperaron q salga al trabajo, rompieron la reja,  fueron a la parde de atras y barretearon la reja de la  habitacion de atras, revolvieron toda la casa, llevaron dinero, celular y medallas","-34.64228235496338","-58.67679834365845","http://tinyurl.com/oygxebk"
"468","2014-12-6 14:15:00","Hurto/Robo","Rompieron rejas del frente y la habitacion de atras, para entrar, robaron dinero, artefactos y medalals ","-34.816621988852454","-60.86288452148438","http://tinyurl.com/nwosq89"
"469","2014-12-12 16:10:00","Robo con Arma","A punta de arma me ingresaron en el domicilio, metieron una camioneta y me vaciaron la casa ademas de golpearme","-34.64132905542576","-58.67714166641235","http://tinyurl.com/po7ew79"
"471","2015-3-9 18:09:00","Hurto/Robo","Entraron y nos robaron dinero","-34.64199989698363","-58.67643356323242","http://tinyurl.com/l7tva8c"
"472","2015-3-12 01:00:00","Hurto/Robo","Machado 5600 3 sujetos sustraen dÃ³lares y varios elementos de la casa huyen dejÃ¡ndolos maniatados y en el auto de la vÃ­ctima un VW Gol gris plata dominio EYV 713","-32.94476563606766","-60.70049285888672","http://tinyurl.com/m24wcom"
"473","2015-3-13 21:05:00","Robo con Arma","2 cuadras antes de llegar a mi casa una moto se esconde despacio en la esquina cuando  camino hasta mitad de cuadra el sale despacio y me apunta con un arma pidiÃ©ndome la cartera ","-37.99616267972812","-60.87524414062499","http://tinyurl.com/pj7axk5"
"474","2014-7-16 17:30:00","Hurto/Robo","2 hombre con casco en una moto grande negra sin patente","-34.70097741472009","-58.7603759765625","http://tinyurl.com/opvwqhr"
"475","2014-7-16 17:30:00","Hurto/Robo","2 hombres con cascos armados en una moto grande negra","-34.70097741472009","-58.7603759765625","http://tinyurl.com/opvwqhr"
"476","2015-3-25 10:00:00","Hurto/Robo","LE ROBARON A MI VECINA , SE LLEVARON DINERO ELECTRODOMÃ‰STICOS, JOYAS Y UNA CAMIONETA SE RADICO LA DENUNCIA, Y QUEDARON GRABADOS POR LAS CÃMARAS DE OTRO VECINO, FUERON DOS MALVIVIENTES","-34.646452911583985","-58.549994230270386","http://tinyurl.com/q2kh6js"
"477","2015-3-29 18:35:00","Robo con Arma","5 hombres fuertemente armados bajaron de una kangoo gris patente NDL005 y se llevaron un volvo 
","-34.634867514155275","-58.557842373847954","http://tinyurl.com/nhaoqyh"
"478","2015-3-30 12:51:00","Hurto/Robo","Alrededor de las 19hs le robaron el celular a una chica que estaba esperando el colectivo. Un chico que paso corriendo.","-34.63903403010949","-58.524384498596184","http://tinyurl.com/oyuxofo"
"479","2015-3-30 16:35:00","Robo con Arma","Ibamos caminando y derrepente una moto honda negra nos intersepto con un arma y nos obligo a entregarle los celulares. El asaltante era un hombre robusto, de tes morena, de unos 30 aÃ±os ","-34.656955606183935","-58.671133518219","http://tinyurl.com/osnmxz3"
